Psalm_1_1_13000_18720|maaih orn lorqc nyei mienh se maiv muangx mienh waaic mienh nyei za eix
Psalm_1_2_18720_22280|maiv yangh zuiz mienh nyei zaux mbiec
Psalm_1_3_22280_29840|yaac maiv caux huotv tin hungh nyei mienh juangc jauv yangh
Psalm_1_4_29840_37840|daaux nzuonx ninh a hneiv ziouv nyei leiz latc
Psalm_1_5_37840_41880|ziu yiex fei fangv ninh nyei leiz
Psalm_1_6_41880_46880|ninh se hnangv diuh ndiangx zuangx wuov ndoqv hlen
Psalm_1_7_46880_49440|ziux ziangh hoc cuotv biouv
Psalm_1_8_49440_52120|normh yaac maiv nqaai
Psalm_1_9_52120_56280|yiem ninh zoux nyei nyungc nyungc duqv longx
Psalm_1_10_56280_60720|mv baac mienh waaic mienh zungv maiv hnangv naaic
Psalm_1_11_60720_68320|ninh mbuo se hnangv mbieqv zuqc nziaaux buonc nzaanx mingh nor
Psalm_1_12_68320_74680|taux siemv zuiz nyei ziangh hoc mienh waaic mienh oix zuqc tin hungh dingc zuiz
Psalm_1_13_74680_79680|zuiz mienh yaac maiv duqv caux gapv zunv nyei kuv mienh yiem
Psalm_1_14_79680_84080|weic zuqc ziouv  ziux goux kuv mienh nyei jauv
Psalm_1_15_84080_92120|mv baac orqv mienh nyei jauv louc zungv oix zuqc mietc
